Lat;Lng
47.9615592252957;-118.982229525274
47.9620250015907;-118.982233761797
47.9620332808394;-118.982918772693
47.9620394392562;-118.983428412283
47.9620415626257;-118.983604289702
47.962046735697;-118.984032526761
47.9620596472791;-118.98510201414
47.9621837837621;-118.995427175861
47.9621169897556;-119.006158711232
47.962069528463;-119.01698580614
47.9619483118941;-119.037673358167
47.9619446143346;-119.038285651467
47.9619490580238;-119.038558974254
47.9618727312722;-119.059389988397
47.9618784868502;-119.060000019416
47.961867103999;-119.060383966137
47.961789447949;-119.08091487714
47.9617625873786;-119.081670618315
47.9617842610801;-119.082216925686
47.9617640661029;-119.103117543916
47.9617412005224;-119.103873168465
47.9466931427089;-119.103965736971
47.9468025692348;-119.125581133851
47.9320714846358;-119.125653213366
47.9173009143205;-119.125903614662
47.9173841754012;-119.14739961816
47.9100002553308;-119.147453460052
47.9095600256365;-119.147450435353
47.909433797259;-119.14744956571
47.9026324682291;-119.147392697021
47.9026682023156;-119.164866396977
47.9026687226243;-119.164921980511
47.9027068797216;-119.168993019863
47.9024647154058;-119.190552201036
47.8917781011843;-119.190655056968
47.891695357908;-119.190654547968
47.8878116097754;-119.190630735017
47.8878061814359;-119.193228488079
47.8878060401616;-119.193296245594
47.8877081097979;-119.212225129607
47.8730826300669;-119.212174755209
47.858380281717;-119.212342188647
47.8440019322892;-119.212224729417
47.829590553841;-119.212262827923
47.8150691825423;-119.212218143288
47.8006952568871;-119.212409921504
47.8007390962072;-119.233989760085
47.7861025247444;-119.233923602918
47.7749778378009;-119.234101586781
47.7746636701155;-119.234106615003
47.7719808326133;-119.234166465036
47.7719715482636;-119.23599490677
47.7719714164509;-119.236021021005
47.771687249272;-119.255862470683
47.7571696238304;-119.255779412034
47.7502091676741;-119.255781703509
47.7501598065267;-119.255781711855
47.7425140373053;-119.255782931897
47.7425725713321;-119.266304740252
47.7425726489128;-119.266318329286
47.7426027236709;-119.27716737098
47.731800598297;-119.277213064246
47.7317718835056;-119.27721318775
47.7282380966566;-119.277237546438
47.7282603603086;-119.280678596861
47.7282605227623;-119.280720979815
47.7283279641119;-119.298648713679
47.7136127452278;-119.298690477468
47.6992047973976;-119.298696897338
47.6878844695861;-119.298797039378
47.6876622108494;-119.298799007491
47.6847353450802;-119.298800104027
47.670403179343;-119.298833147633
47.6703883101118;-119.305800578113
47.670388254819;-119.305826802656
47.6702834658119;-119.309423249734
47.6702322861282;-119.320143631424
47.6556470604096;-119.320336841032
47.6485449632797;-119.320248630516
47.6423139116867;-119.320249829576
47.6422607103622;-119.320249842857
47.6412282476227;-119.320256464083
47.6403951377207;-119.320263341877
47.6400323499062;-119.320266337098
47.6372257099384;-119.320289502627
47.6371388992864;-119.320290219083
47.6324500261281;-119.320306816189
47.6324420866907;-119.320306813416
47.6267969183664;-119.320304190212
47.626791762862;-119.329315587498
47.6267916466975;-119.329348272276
47.6267477603169;-119.341484951402
47.6217693793841;-119.341615455322
47.6195762516718;-119.341626602796
47.6123878958826;-119.341766594821
47.6123696966414;-119.346636280588
47.6123330361821;-119.362759214177
47.6123484464617;-119.363004167502
47.6123936043023;-119.383637757882
47.6123952851346;-119.384099901411
47.6126352641043;-119.405187618206
47.5990120579185;-119.405319378689
47.5990429160103;-119.426768171102
47.5919033068049;-119.42680250087
47.5847615127664;-119.426839519024
47.584830482984;-119.437319589845
47.5848985170345;-119.44779973608
47.5776765603685;-119.447740676712
47.5704545786651;-119.447681633325
47.5707599298016;-119.469098825892
47.5566064962777;-119.469173822281
47.5565409673493;-119.490097537448
47.5420199215812;-119.490467437442
47.5420400458176;-119.512092254834
47.5276329422472;-119.511690972418
47.5277562427252;-119.532891039232
47.5132410792926;-119.533214602784
47.4987636562885;-119.533185310247
47.4844673477232;-119.533342917826
47.4699850292042;-119.533354242029
47.4556746145011;-119.533281566625
47.4413661589977;-119.533608799703
47.4413289353539;-119.544302110743
47.4412907254566;-119.554995406759
47.4412515320491;-119.565688687307
47.4412315665135;-119.571035319638
47.4412113578427;-119.576381947907
47.4411668863801;-119.587238017329
47.4411213984938;-119.598094068548
47.4410188436754;-119.608986842718
47.4409215192498;-119.619225421658
47.441148595233;-119.629759296631
47.4409138709159;-119.640789404875
47.4406483784782;-119.662098537062
47.4404854586025;-119.672909026663
47.4404805482139;-119.673232384742
47.4403218492796;-119.683767937535
47.43993313746;-119.704847994193
47.4396840314247;-119.725905423271
47.4394086336346;-119.741758198608
47.4393122300928;-119.747287599799
47.4390882176182;-119.758146740332
47.4388709287527;-119.768658129912
47.4385241981702;-119.79010377481
47.4381468849217;-119.811399973806
