"id","county","phase","path__lat","path__lng"
"1","Grant","2","47.96155923","-118.9822295"
"1","Grant","","47.962025","-118.9822338"
"1","Grant","","47.96203328","-118.9829188"
"1","Grant","","47.96203944","-118.9834284"
"1","Grant","","47.96204156","-118.9836043"
"1","Grant","","47.96204674","-118.9840325"
"1","Grant","","47.96205965","-118.985102"
"1","Grant","","47.96218378","-118.9954272"
"1","Grant","","47.96211699","-119.0061587"
"1","Grant","","47.96206953","-119.0169858"
"1","Grant","","47.96194831","-119.0376734"
"1","Grant","","47.96194461","-119.0382857"
"1","Grant","","47.96194906","-119.038559"
"1","Grant","","47.96187273","-119.05939"
"1","Grant","","47.96187849","-119.06"
"1","Grant","","47.9618671","-119.060384"
"1","Grant","","47.96178945","-119.0809149"
"1","Grant","","47.96176259","-119.0816706"
"1","Grant","","47.96178426","-119.0822169"
"1","Grant","","47.96176407","-119.1031175"
"1","Grant","","47.9617412","-119.1038732"
"1","Grant","","47.94669314","-119.1039657"
"1","Grant","","47.94680257","-119.1255811"
"1","Grant","","47.93207148","-119.1256532"
"1","Grant","","47.91730091","-119.1259036"
"1","Grant","","47.91738418","-119.1473996"
"1","Grant","","47.91000026","-119.1474535"
"1","Grant","","47.90956003","-119.1474504"
"1","Grant","","47.9094338","-119.1474496"
"1","Grant","","47.90263247","-119.1473927"
"1","Grant","","47.9026682","-119.1648664"
"1","Grant","","47.90266872","-119.164922"
"1","Grant","","47.90270688","-119.168993"
"1","Grant","","47.90246472","-119.1905522"
"1","Grant","","47.8917781","-119.1906551"
"1","Grant","","47.89169536","-119.1906545"
"1","Grant","","47.88781161","-119.1906307"
"1","Grant","","47.88780618","-119.1932285"
"1","Grant","","47.88780604","-119.1932962"
"1","Grant","","47.88770811","-119.2122251"
"1","Grant","","47.87308263","-119.2121748"
"1","Grant","","47.85838028","-119.2123422"
"1","Grant","","47.84400193","-119.2122247"
"1","Grant","","47.82959055","-119.2122628"
"1","Grant","","47.81506918","-119.2122181"
"1","Grant","","47.80069526","-119.2124099"
"1","Grant","","47.8007391","-119.2339898"
"1","Grant","","47.78610252","-119.2339236"
"1","Grant","","47.77497784","-119.2341016"
"1","Grant","","47.77466367","-119.2341066"
"1","Grant","","47.77198083","-119.2341665"
"1","Grant","","47.77197155","-119.2359949"
"1","Grant","","47.77197142","-119.236021"
"1","Grant","","47.77168725","-119.2558625"
